flight_iata,flight_icao,dep_name,dep_city,dep_country,arr_name,arr_city,arr_country,airline_name,delayed,dep_delayed,arr_delayed,arr_time,arr_estimated,arr_actual,dep_time,dep_estimated,dep_actual
QR1,QTR1,Hamad International Airport,Doha,QA,London Heathrow Airport,London,GB,Qatar Airways,,14,,2025-01-07 17:25,2025-01-07 17:04,,2025-01-07 12:50,2025-01-07 13:04,2025-01-07 13:04
QR1,QTR1,Hamad International Airport,Doha,QA,London Heathrow Airport,London,GB,Qatar Airways,,14,,2025-01-07 17:25,2025-01-07 17:04,,2025-01-07 12:50,2025-01-07 13:04,2025-01-07 13:04
QR1,QTR1,Hamad International Airport,Doha,QA,London Heathrow Airport,London,GB,Qatar Airways,,14,,2025-01-07 17:25,2025-01-07 17:04,,2025-01-07 12:50,2025-01-07 13:04,2025-01-07 13:04
QR1,QTR1,Hamad International Airport,Doha,QA,London Heathrow Airport,London,GB,Qatar Airways,,14,,2025-01-07 17:25,2025-01-07 17:04,,2025-01-07 12:50,2025-01-07 13:04,2025-01-07 13:04
QR1,QTR1,Hamad International Airport,Doha,QA,London Heathrow Airport,London,GB,Qatar Airways,,14,,2025-01-07 17:25,2025-01-07 17:04,,2025-01-07 12:50,2025-01-07 13:04,2025-01-07 13:04
QR1,QTR1,Hamad International Airport,Doha,QA,London Heathrow Airport,London,GB,Qatar Airways,,14,,2025-01-07 17:25,2025-01-07 17:04,,2025-01-07 12:50,2025-01-07 13:04,2025-01-07 13:04
QR1,QTR1,Hamad International Airport,Doha,QA,London Heathrow Airport,London,GB,Qatar Airways,,14,,2025-01-07 17:25,2025-01-07 17:04,,2025-01-07 12:50,2025-01-07 13:04,2025-01-07 13:04
QR1,QTR1,Hamad International Airport,Doha,QA,London Heathrow Airport,London,GB,Qatar Airways,,14,,2025-01-07 17:25,2025-01-07 17:04,,2025-01-07 12:50,2025-01-07 13:04,2025-01-07 13:04
QR1,QTR1,Hamad International Airport,Doha,QA,London Heathrow Airport,London,GB,Qatar Airways,,14,,2025-01-07 17:25,2025-01-07 17:04,,2025-01-07 12:50,2025-01-07 13:04,2025-01-07 13:04
QR1,QTR1,Hamad International Airport,Doha,QA,London Heathrow Airport,London,GB,Qatar Airways,,14,,2025-01-07 17:25,2025-01-07 17:04,,2025-01-07 12:50,2025-01-07 13:04,2025-01-07 13:04
QR1,QTR1,Hamad International Airport,Doha,QA,London Heathrow Airport,London,GB,Qatar Airways,,14,,2025-01-07 17:25,2025-01-07 17:04,,2025-01-07 12:50,2025-01-07 13:04,2025-01-07 13:04
QR1,QTR1,Hamad International Airport,Doha,QA,London Heathrow Airport,London,GB,Qatar Airways,,14,,2025-01-07 17:25,2025-01-07 17:04,,2025-01-07 12:50,2025-01-07 13:04,2025-01-07 13:04
QR1,QTR1,Hamad International Airport,Doha,QA,London Heathrow Airport,London,GB,Qatar Airways,,14,,2025-01-07 17:25,2025-01-07 17:04,,2025-01-07 12:50,2025-01-07 13:04,2025-01-07 13:04
QR1,QTR1,Hamad International Airport,Doha,QA,London Heathrow Airport,London,GB,Qatar Airways,,14,,2025-01-07 17:25,2025-01-07 17:04,,2025-01-07 12:50,2025-01-07 13:04,2025-01-07 13:04
QR1,QTR1,Hamad International Airport,Doha,QA,London Heathrow Airport,London,GB,Qatar Airways,,14,,2025-01-07 17:25,2025-01-07 17:04,,2025-01-07 12:50,2025-01-07 13:04,2025-01-07 13:04
QR1,QTR1,Hamad International Airport,Doha,QA,London Heathrow Airport,London,GB,Qatar Airways,,14,,2025-01-07 17:25,2025-01-07 17:04,,2025-01-07 12:50,2025-01-07 13:04,2025-01-07 13:04
QR1,QTR1,Hamad International Airport,Doha,QA,London Heathrow Airport,London,GB,Qatar Airways,,14,,2025-01-07 17:25,2025-01-07 17:04,,2025-01-07 12:50,2025-01-07 13:04,2025-01-07 13:04
QR1,QTR1,Hamad International Airport,Doha,QA,London Heathrow Airport,London,GB,Qatar Airways,,14,,2025-01-07 17:25,2025-01-07 17:04,,2025-01-07 12:50,2025-01-07 13:04,2025-01-07 13:04
QR1,QTR1,Hamad International Airport,Doha,QA,London Heathrow Airport,London,GB,Qatar Airways,,14,,2025-01-07 17:25,2025-01-07 17:04,,2025-01-07 12:50,2025-01-07 13:04,2025-01-07 13:04
QR1,QTR1,Hamad International Airport,Doha,QA,London Heathrow Airport,London,GB,Qatar Airways,,14,,2025-01-07 17:25,2025-01-07 17:04,,2025-01-07 12:50,2025-01-07 13:04,2025-01-07 13:04
